epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,8.72729206085205,11.662158012390137,136.0059356689453
0,0,15.137421607971191,18.48677635192871,341.76092529296875,,,
1,1,,,,8.574945449829102,11.425642967224121,130.54531860351562
1,1,14.801168441772461,18.024477005004883,324.88177490234375,,,
2,2,,,,8.425451278686523,11.193763732910156,125.30035400390625
2,2,14.466691017150879,17.564159393310547,308.49969482421875,,,
3,3,,,,8.278753280639648,10.96656608581543,120.26556396484375
3,3,14.134507179260254,17.105966567993164,292.6141052246094,,,
4,4,,,,8.134872436523438,10.744114875793457,115.4360122680664
4,4,13.805399894714355,16.65143585205078,277.27032470703125,,,
5,5,,,,7.993863105773926,10.52639102935791,110.8049087524414
5,5,13.480292320251465,16.202808380126953,262.5309753417969,,,
6,6,,,,7.855706214904785,10.313241004943848,106.36293029785156
6,6,13.162631034851074,15.766380310058594,248.5787353515625,,,
7,7,,,,7.720365047454834,10.104510307312012,102.10111999511719
7,7,12.855830192565918,15.347917556762695,235.55856323242188,,,
8,8,,,,7.587853908538818,9.900136947631836,98.01271057128906
8,8,12.560836791992188,14.948934555053711,223.47064208984375,,,
9,9,,,,7.458241939544678,9.70018196105957,94.09352111816406
9,9,12.278322219848633,14.570240020751953,212.29188537597656,,,
10,10,,,,7.331600189208984,9.504753112792969,90.34033203125
10,10,12.007440567016602,14.2100248336792,201.9248046875,,,
